elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
tanh,50,1.1045428386662177,5,50,1,15
rbf_l2,50,1.090029843185952,5,50,1,15
lin,75,1.0945151747470556,5,50,1,15
tanh,75,1.0629557446695048,5,50,1,15
rbf_l2,75,1.0709859628759,5,50,1,15
lin,87,1.0992230294858545,5,50,1,15
tanh,87,1.0651073543207223,5,50,1,15
rbf_l2,87,1.0725428907371326,5,50,1,15
lin,100,1.0899286253940117,5,50,1,15
tanh,100,1.0587281452798707,5,50,1,15
rbf_l2,100,1.0648028993920107,5,50,1,15
lin,25,1.2375163932109365,5,50,3,15
tanh,25,1.1794242468440956,5,50,3,15
rbf_l2,25,1.1812406627653056,5,50,3,15
lin,37,1.1298030914871515,5,50,3,15
tanh,37,1.1313365925833774,5,50,3,15
rbf_l2,37,1.146789030140348,5,50,3,15
lin,50,1.1046329452360122,5,50,3,15
tanh,50,1.1066681561214982,5,50,3,15
rbf_l2,50,1.1015834861602745,5,50,3,15
lin,75,1.1092844351113222,5,50,3,15
tanh,75,1.0746034770834327,5,50,3,15
rbf_l2,75,1.0743861727938786,5,50,3,15
lin,87,1.1084869355377904,5,50,3,15
tanh,87,1.0627108445814748,5,50,3,15
rbf_l2,87,1.0757877102304314,5,50,3,15
lin,100,1.1058447054049512,5,50,3,15
tanh,100,1.0515830863811806,5,50,3,15
rbf_l2,100,1.0634307468704562,5,50,3,15
lin,25,1.168078553624375,5,50,5,15
tanh,25,1.1665876540531122,5,50,5,15
rbf_l2,25,1.178746064646138,5,50,5,15
lin,37,1.1231503367776652,5,50,5,15
tanh,37,1.1281411729816537,5,50,5,15
rbf_l2,37,1.1280258427293863,5,50,5,15
lin,50,1.1029634936510084,5,50,5,15
tanh,50,1.1046857875863476,5,50,5,15
rbf_l2,50,1.1103078213272533,5,50,5,15
lin,75,1.1015656259196744,5,50,5,15
tanh,75,1.0753532723912755,5,50,5,15
rbf_l2,75,1.075196144785751,5,50,5,15
lin,87,1.0999897805685215,5,50,5,15
tanh,87,1.0659186202441089,5,50,5,15
rbf_l2,87,1.0773787126087395,5,50,5,15
lin,100,1.102422602695397,5,50,5,15
tanh,100,1.057817986381368,5,50,5,15
rbf_l2,100,1.0552591744920288,5,50,5,15
lin,25,1.1626101299604508,7,50,1,15
tanh,25,1.1540529151630403,7,50,1,15
rbf_l2,25,1.1440940495777627,7,50,1,15
