elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
lin,50,1.1332097355767436,5,100,1,15
tanh,50,1.1339317487060994,5,100,1,15
rbf_l2,50,1.1197919719002511,5,100,1,15
rbf_linf,50,1.1345175971176458,5,100,1,15
sigm,75,1.1020376002462027,5,100,1,15
lin,75,1.0955236932318013,5,100,1,15
tanh,75,1.110055463283074,5,100,1,15
rbf_l2,75,1.1171391093701732,5,100,1,15
rbf_linf,75,1.1323713834742406,5,100,1,15
sigm,100,1.0798236938186627,5,100,1,15
lin,100,1.0835253264080142,5,100,1,15
tanh,100,1.072535101061829,5,100,1,15
rbf_l2,100,1.0867958066122803,5,100,1,15
rbf_linf,100,1.0950239288016819,5,100,1,15
sigm,125,1.0648499407567757,5,100,1,15
lin,125,1.0832784765311263,5,100,1,15
tanh,125,1.07270766203855,5,100,1,15
rbf_l2,125,1.0706546445647431,5,100,1,15
rbf_linf,125,1.0844892350177546,5,100,1,15
sigm,150,1.0607545342200586,5,100,1,15
lin,150,1.0922455202857675,5,100,1,15
tanh,150,1.0552289424783912,5,100,1,15
rbf_l2,150,1.0437159088754913,5,100,1,15
rbf_linf,150,1.077434228652848,5,100,1,15
sigm,175,1.0521330895365923,5,100,1,15
lin,175,1.0882401094688228,5,100,1,15
tanh,175,1.0465141831085831,5,100,1,15
rbf_l2,175,1.0540480758418849,5,100,1,15
rbf_linf,175,1.372407970880203,5,100,1,15
sigm,200,1.0437548963988936,5,100,1,15
lin,200,1.081128823545002,5,100,1,15
tanh,200,1.0526825459204607,5,100,1,15
rbf_l2,200,1.0498058405525614,5,100,1,15
rbf_linf,200,1.051429986483496,5,100,1,15
sigm,33,1.1285392653702084,5,100,1,15
lin,33,1.1680264334061834,5,100,1,15
tanh,33,1.1668450090926272,5,100,1,15
rbf_l2,33,1.197118564067275,5,100,1,15
rbf_linf,33,1.2306019486928141,5,100,1,15
sigm,50,1.1199120663449886,5,100,1,15
lin,50,1.1324124257707404,5,100,1,15
tanh,50,1.1046810650356043,5,100,1,15
rbf_l2,50,1.1299388652752012,5,100,1,15
rbf_linf,50,1.1519685883664619,5,100,1,15
sigm,75,1.1030173010178739,5,100,1,15
lin,75,1.099165914097183,5,100,1,15
tanh,75,1.0934947268205635,5,100,1,15
rbf_l2,75,1.108693789348891,5,100,1,15
rbf_linf,75,1.1352417185462802,5,100,1,15
sigm,100,1.0823005976245141,5,100,1,15
lin,100,1.095009727978366,5,100,1,15
tanh,100,1.0757737046497131,5,100,1,15
rbf_l2,100,1.0940931892249641,5,100,1,15
rbf_linf,100,1.1173029526735827,5,100,1,15
sigm,125,1.0664465123057663,5,100,1,15
lin,125,1.088270584041245,5,100,1,15
tanh,125,1.0709226220174033,5,100,1,15
rbf_l2,125,1.0710642114244,5,100,1,15
rbf_linf,125,1.0759342618652838,5,100,1,15
sigm,150,1.0561953615147868,5,100,1,15
lin,150,1.0845111604837823,5,100,1,15
tanh,150,1.0524459614779738,5,100,1,15
rbf_l2,150,1.053848194244431,5,100,1,15
