estimator,r2_performance_mean,r2_performance_std,analyzer,ngram_range,stop_words,tfidf__use_idf,sgd__loss,sgd__penalty,sgd__alpha,sgd__learning_rate
SGDRegression,-0.18405136560560717,0.02680842511284804,char,"(1,9)",yes,True,huber,l1,0.001,optimal
SGDRegression,-0.0029287644188699113,0.008460100257386255,char,"(1,9)",yes,False,huber,l1,0.001,optimal
SGDRegression,0.1306997175241614,0.012849798658033906,char,"(1,9)",yes,True,huber,l2,0.001,optimal
SGDRegression,0.2538451787802035,0.009060595133840214,char,"(1,9)",yes,False,huber,l2,0.001,optimal
SGDRegression,-0.09964271774479246,0.013615722748918938,char,"(1,9)",yes,True,huber,elasticnet,0.001,optimal
SGDRegression,0.09974233651064883,0.010121962011311228,char,"(1,9)",yes,False,huber,elasticnet,0.001,optimal
SGDRegression,0.45137347297496716,0.010846097325824179,char,"(1,9)",yes,True,squared_loss,l1,0.0001,invscaling
SGDRegression,0.47513857378559815,0.008391464208201634,char,"(1,9)",yes,False,squared_loss,l1,0.0001,invscaling
SGDRegression,0.4937259984570521,0.010148455165167042,char,"(1,9)",yes,True,squared_loss,l2,0.0001,invscaling
SGDRegression,0.49809072009180666,0.007893740951484082,char,"(1,9)",yes,False,squared_loss,l2,0.0001,invscaling
SGDRegression,0.4820785065510263,0.010363732466672937,char,"(1,9)",yes,True,squared_loss,elasticnet,0.0001,invscaling
SGDRegression,0.49152929238193116,0.0078181307948714,char,"(1,9)",yes,False,squared_loss,elasticnet,0.0001,invscaling
SGDRegression,-0.3334385531742091,0.016776979245231236,char,"(1,9)",yes,True,huber,l1,0.0001,invscaling
SGDRegression,-0.2677994325734572,0.017252777601604423,char,"(1,9)",yes,False,huber,l1,0.0001,invscaling
SGDRegression,-0.32126580495497936,0.01671147613655587,char,"(1,9)",yes,True,huber,l2,0.0001,invscaling
SGDRegression,-0.25212018013003296,0.017199505626254854,char,"(1,9)",yes,False,huber,l2,0.0001,invscaling
SGDRegression,-0.32451589878941023,0.016775961999407268,char,"(1,9)",yes,True,huber,elasticnet,0.0001,invscaling
SGDRegression,-0.2555729784251358,0.01716306857426263,char,"(1,9)",yes,False,huber,elasticnet,0.0001,invscaling
SGDRegression,0.5373496265069708,0.005753771893966084,char,"(1,9)",yes,True,squared_loss,l1,0.0001,constant
SGDRegression,0.5485445142278081,0.004635059323097256,char,"(1,9)",yes,False,squared_loss,l1,0.0001,constant
SGDRegression,0.5653075201641847,0.0076573220238760255,char,"(1,9)",yes,True,squared_loss,l2,0.0001,constant
SGDRegression,0.5771341618950758,0.0042659141938460425,char,"(1,9)",yes,False,squared_loss,l2,0.0001,constant
SGDRegression,0.5621660313756686,0.005857961816592433,char,"(1,9)",yes,True,squared_loss,elasticnet,0.0001,constant
SGDRegression,0.568496953257383,0.0029281231311527275,char,"(1,9)",yes,False,squared_loss,elasticnet,0.0001,constant
SGDRegression,-0.24831981511748316,0.017662330631816922,char,"(1,9)",yes,True,huber,l1,0.0001,constant
SGDRegression,0.13036704564530766,0.00708899980775445,char,"(1,9)",yes,False,huber,l1,0.0001,constant
SGDRegression,0.21022457103858727,0.011734960362680185,char,"(1,9)",yes,True,huber,l2,0.0001,constant
SGDRegression,0.36427644420277394,0.005289850987218035,char,"(1,9)",yes,False,huber,l2,0.0001,constant
SGDRegression,0.0956755283073261,0.022097215931261387,char,"(1,9)",yes,True,huber,elasticnet,0.0001,constant
SGDRegression,0.2882592871101023,0.007788827502859998,char,"(1,9)",yes,False,huber,elasticnet,0.0001,constant
