svr__C,svr__epsilon,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
10.0,0.4,linear,char,"(1, 5)",rmstop_clean_stem,-1.6610725749738737,0.060707848756510745,94,1.1068556308746338
10.0,0.4,linear,char,"(2, 6)",rmstop_clean_stem,-1.6422800288008834,0.053020945756036976,90,1.1966952681541443
10.0,0.4,linear,char,"(4, 12)",rmstop_clean_stem,-1.605925278319943,0.04234699770363791,70,2.316224694252014
10.0,0.4,linear,char,"(6, 8)",rmstop_clean_stem,-1.641742328259262,0.03842789422994281,89,0.9288268089294434
10.0,0.4,rbf,char,"(1, 5)",rmstop_clean_stem,-1.5525551770950041,0.02411477663464343,27,1.06637704372406
10.0,0.4,rbf,char,"(2, 6)",rmstop_clean_stem,-1.5577908166839602,0.025051192759544743,30,1.2109403610229492
10.0,0.4,rbf,char,"(4, 12)",rmstop_clean_stem,-1.6177317000676559,0.025147941956295442,78,2.2686083912849426
10.0,0.4,rbf,char,"(6, 8)",rmstop_clean_stem,-1.622252293570778,0.025441394963152886,82,0.9704250693321228
10.0,0.4,poly,char,"(1, 5)",rmstop_clean_stem,-1.720843280469204,0.03475841736002702,133,1.171352744102478
10.0,0.4,poly,char,"(2, 6)",rmstop_clean_stem,-1.849343303928473,0.04383418140459402,166,1.3593993186950684
10.0,0.4,poly,char,"(4, 12)",rmstop_clean_stem,-1.9764283635034228,0.042884159263966264,204,2.328083336353302
10.0,0.4,poly,char,"(6, 8)",rmstop_clean_stem,-1.9571486413821995,0.04197571958116748,193,0.9804450869560242
10.0,1.0,linear,char,"(1, 5)",rmstop_clean_stem,-1.6346254805163312,0.048210663770097424,87,0.8593544960021973
10.0,1.0,linear,char,"(2, 6)",rmstop_clean_stem,-1.6194253858642464,0.04401161704672329,80,0.9843170642852783
10.0,1.0,linear,char,"(4, 12)",rmstop_clean_stem,-1.6062953671193063,0.02477035121419989,72,1.9217356443405151
10.0,1.0,linear,char,"(6, 8)",rmstop_clean_stem,-1.6306705768356722,0.030614315310272804,85,0.7303551435470581
10.0,1.0,rbf,char,"(1, 5)",rmstop_clean_stem,-1.5985806759171017,0.017515164493347692,60,0.8827633857727051
